algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,total_tp_all,total_fp_all,total_fn_all,total_tn_all,eps_n_honest,eps_n_attacker,balance_kept_honest,balance_kept_attacker,trust_honest,trust_attacker,balance_threshold_honest,balance_threshold_attacker,noise_norm_honest,noise_norm_attacker,sigma_n_honest,sigma_n_attacker,n_dp_norm_honest,n_dp_norm_attacker,sigma_dp_honest,sigma_dp_attacker,nsr_honest,nsr_attacker,balance_local_norm_honest,balance_local_norm_attacker,eps_avg,eps_std,avg_trust,avg_sigma_dp_precap,avg_n_dp_norm_postcap,avg_nsr
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,0,2.969313182636736,0.38001765598853426,2.0955926060676573,nan,0.4509097252573286,0.4510901203751564,1000.0,nan,nan,0,0,0,30800,0.06928397426152384,2.9693131826367365,65.85714285714286,151.695,1.0,1.0,9.901476044941065,9.901447923900088,180.36399841308594,180.43596893310547,0.7999999999999999,0.8,180.36399841308594,180.43596893310547,0.7999999999999999,0.8,1030.4799987585318,1031.1836083751948,4.983853203909738,4.983839049339294,1.2292956576116087,1.4625306792274435,1.0,0.7999999999999998,74.6994835510254,426.90016333269733
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,1,3.2739635349746607,0.554058986902237,1.890446866353353,nan,0.4940685238689184,0.8185286438465118,1000.0,nan,nan,0,0,0,31168,0.21343262960802117,3.2628028107682643,43.625,152.35,0.9927787482738495,0.930539733171463,9.869839234922004,9.87810675691337,179.75046825408936,191.10507713317872,0.7977593862560834,0.8470551674999472,179.75046825408936,191.10507713317872,0.7977593862560834,0.8470551674999472,996.0927227204255,1066.2374424561335,5.001159161329269,5.005348408222199,1.4331807020721183,1.610923951537486,0.9351500305864546,0.8434036281485499,82.19404583740234,458.369944109507
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,2,3.37432806887526,0.6505753167470296,1.679897655248642,nan,0.49579058289527894,1.2470211505889892,1000.0,nan,nan,0,0,0,31306,0.3596292888606333,3.3647375564481723,50.13333333333333,152.77,0.9979555130004882,0.9691361981630325,9.859441749258512,9.932375574758318,177.22576802571615,182.31615882873535,0.7857621414010157,0.8083610647364426,177.22576802571615,182.31615882873535,0.7857621414010157,0.8083610647364426,972.1842478554905,1004.2041203668658,5.029307842254639,5.066511435508728,1.5616725958956488,1.6599305704602878,0.9711468480354132,0.806784395666529,78.24323657226563,430.84717558241107
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,3,3.5034078102098145,0.7096176477273305,1.4800956797599794,nan,0.4783295005559921,1.6310852229595185,1000.0,nan,nan,0,0,0,31382,0.5536958818215555,3.4883580591272403,42.2,152.69,0.9975685685873031,0.9746605861186981,9.856676835878257,10.155262157726678,175.57813568115233,179.60216178894044,0.7782440842424714,0.7960288436578838,175.57813568115233,179.60216178894044,0.7782440842424714,0.7960288436578838,998.0999946303178,1011.5093838428843,5.061528754234314,5.214856109619141,1.7275607527438295,1.710342990881843,0.9767431299794804,0.7944120473473917,78.86399014282226,444.5277533223664
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,4,3.659238231515276,0.7507719826698304,1.2999602536360422,nan,0.4612051546573639,1.9956254363059998,1000.0,nan,nan,0,0,0,31208,0.6966769393186544,3.6351398725551847,49.357142857142854,152.585,0.9981986624853951,0.9778156170248985,9.864589588024945,10.650851510819296,173.51188005719865,177.33618202209473,0.7700161161701635,0.7856831680231289,173.51188005719865,177.33618202209473,0.7700161161701635,0.7856831680231289,1042.2476161240004,1043.704761474413,5.099475485937936,5.50593166589737,1.8720621126132664,1.7625149744809168,0.9791490872886693,0.7846582207056454,75.79280545043946,446.66483784123733
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,5,3.8391683521944158,0.7792006468772888,1.1458886170387268,nan,0.6482821603616079,2.3387594842910766,1000.0,nan,nan,0,0,0,30866,0.7541464935379962,3.804741478201885,55.333333333333336,151.84,0.9874778654840257,0.9785824221372604,9.893584656581302,11.51159039845004,173.75278896755643,175.38502326965332,0.7705126778478919,0.7772819638122296,173.75278896755643,175.38502326965332,0.7705126778478919,0.7772819638122296,1119.0344903611763,1100.4553578679377,5.1486747529771595,5.990693657398224,1.9743844874035519,1.8266134079169645,0.9789654795062599,0.7769904634596984,73.28155950927734,460.3247639736762
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,6,4.042529439297351,0.7995649802684784,1.0194611394405364,nan,0.5434143344561259,2.658943058252335,1000.0,nan,nan,0,0,0,31172,0.8788068660236079,3.995120910867736,45.93333333333333,152.415,0.9765617966651916,0.9769985699653625,9.898626823809312,12.789952863424018,174.1231424967448,173.875142288208,0.7710702417727258,0.770741171690072,174.1231424967448,173.875142288208,0.7710702417727258,0.770741171690072,1242.0723255175997,1178.7698241729324,5.185755443572998,6.7004816794395445,2.1253324839612593,1.8883510528643221,0.9769680974095367,0.7707641300679315,74.77375119018555,508.77009943470097
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,7,4.268518194198822,0.8138656467199326,0.9185994269450506,nan,0.49595731165673995,2.955668317079544,1000.0,nan,nan,0,0,0,31048,1.0390441172535705,4.203199456576843,36.94444444444444,151.915,0.9759414792060852,0.9733599182963372,9.906885021116153,14.490507554704658,172.39478980170355,172.74165489196778,0.7638606688082186,0.7657862939585866,172.39478980170355,172.74165489196778,0.7638606688082186,0.7657862939585866,1374.0663225619485,1272.6428434668273,5.224797937605116,7.642157330513,2.304706252982879,1.9451630989365434,0.9735730747017292,0.7656272973865379,75.30287438964844,558.5235249989611
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,8,4.525701661307294,0.8241703120867411,0.8389067264397939,nan,0.5814710790696351,3.234111715555191,1000.0,nan,nan,0,0,0,31914,1.1936781785621917,4.430152804575877,49.608695652173914,153.865,0.955639344194661,0.9695103791356087,9.919299794757423,16.582896946142135,174.0495074728261,171.60310501098633,0.7712531143175805,0.7610094510413492,174.0495074728261,171.60310501098633,0.7712531143175805,0.7610094510413492,1539.6924437570278,1363.3521720787226,5.266337519106657,8.804163012504578,2.4882680289676653,2.0046027135956006,0.9680797342762284,0.7620659723658036,76.64751934814453,616.1667212443124
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,9,4.821968881199189,0.8321089790264765,0.7752496276299159,nan,0.6180521349112192,3.4842900323867796,1000.0,nan,nan,0,0,0,31738,1.292079099150239,4.668767522387055,54.94444444444444,153.745,0.9307740132013956,0.9624845120310783,9.922640943584529,19.02388173709993,176.22633277045355,171.08566352844238,0.7817591787501178,0.7585742077253548,176.22633277045355,171.08566352844238,0.7817591787501178,0.7585742077253548,1734.1102538482553,1444.6468686019352,5.303349468443129,10.167685565948487,2.642754468444966,2.076423149717039,0.9598662139625724,0.7604885631310692,74.77841339111328,640.2867165793112
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,10,5.141707667761443,0.838292979200681,0.7243760412931443,nan,0.6170870724477266,3.719945412874222,1000.0,nan,nan,0,0,0,32034,1.4487859716326503,4.922200539866958,60.10526315789474,154.46,0.9759376300008673,0.956238257586956,9.944281310181456,21.759494267105982,167.32459058259664,170.39252471923828,0.7412879606222406,0.7555477440397865,167.32459058259664,170.39252471923828,0.7412879606222406,0.7555477440397865,1806.9435525241693,1504.3785140720904,5.350466728210449,11.707578101158141,2.8381517989263734,2.1340434980756826,0.9579473355589392,0.7543105938802733,74.51534432983398,670.4152606247546
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,11,5.249696197164824,0.8436436458428701,0.6826675573984782,nan,0.7075526234176424,3.9422114861011504,1000.0,nan,nan,0,0,0,31680,1.55209819542645,5.164232546300609,53.5,153.585,0.959563864601983,0.9506723093986511,9.956167860513258,24.74918430795385,168.20157962375217,169.64720458984374,0.7456465645484354,0.7520188514820498,168.20157962375217,169.64720458984374,0.7456465645484354,0.7520188514820498,2002.5459987396284,1535.858772558159,5.3926939434475365,13.405235648155212,2.9969519357761136,2.2004881608978213,0.9514064745071831,0.7514926993499165,73.91413870239258,686.4351649778902
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,12,5.303850574427973,0.8478753129641216,0.6484314632415772,nan,0.7281235917048021,4.151717616319656,1000.0,nan,nan,0,0,0,30700,1.617019737550917,5.267852564600944,39.0,151.355,0.9502892385829579,0.9456097114086152,9.934386219464672,27.958759090946106,167.84183432839134,168.70598304748535,0.7448079415541624,0.7481282361822406,167.84183432839134,168.70598304748535,0.7448079415541624,0.7481282361822406,2159.23469130539,1538.5692080167937,5.41688854044134,15.244976224899291,3.0773528683709284,2.2212869591162567,0.9458536678015903,0.7479551402537626,71.17491357421875,662.930846415436
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,13,5.360004393085885,0.8514093112945557,0.6197791341940562,nan,0.6954209804534912,4.351691257953644,1000.0,nan,nan,0,0,0,30976,1.6998156191186815,5.320764734327874,37.0,151.735,0.9267769350725061,0.9415008354187012,9.97249309093891,31.359411570390694,169.9968952852137,167.80568664550782,0.7539138157371145,0.7435706240416559,169.9968952852137,167.80568664550782,0.7539138157371145,0.7435706240416559,2357.410551218506,1511.2574185586784,5.474039161906523,17.21361403465271,3.1481952652023577,2.218229252470688,0.9403473501381236,0.7443809201652632,72.90216909790038,684.6549261649004
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,14,5.423611529339012,0.8547569791475932,0.5952983858187993,nan,0.762073364522722,4.53620420217514,1000.0,nan,nan,0,0,0,30632,1.7546520150651415,5.372610947720021,42.55555555555556,151.245,0.9423301219940186,0.9368353056907653,9.913660513668974,34.92814171714337,166.30477735731336,166.75932548522948,0.7355952150222003,0.7394167860663897,166.30477735731336,166.75932548522948,0.7355952150222003,0.7394167860663897,2479.038685152399,1463.8872658462105,5.478144645690918,19.300783224105835,3.2018355881270923,2.2214754524630655,0.9370719245746375,0.7392522208061136,69.69721618652343,630.1776026712274
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,15,5.493025613526038,0.8575516454378764,0.5744523708025614,nan,0.7469897568225861,4.715800216197968,1000.0,nan,nan,0,0,0,31250,1.8411811216491643,5.42755759987183,45.8125,152.585,0.9185302630066872,0.933624507188797,9.897258993591711,38.64045149294644,167.68536853790283,165.64241981506348,0.7446637031139631,0.7342703140214435,167.68536853790283,165.64241981506348,0.7446637031139631,0.7342703140214435,2662.493030749256,1394.4555384713954,5.505663752555847,21.494974851608276,3.275731712938231,2.216783872952802,0.9325064150271593,0.7350401946949634,71.62289971923828,642.9819923725343
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,16,5.5655108580939014,0.8599469792842865,0.556317036151886,nan,0.8149290572513234,4.8645077991485595,1000.0,nan,nan,0,0,0,31002,1.8891383423079826,5.484723315260879,53.09090909090909,152.09,0.9300419796596874,0.9266424930095672,9.866268648366995,42.48259614294027,164.73005121404475,165.07219688415526,0.7294064651900645,0.7317239463377233,164.73005121404475,165.07219688415526,0.7294064651900645,0.7317239463377233,2769.3621043035937,1332.6257849144326,5.5251361240040175,23.790364418029785,3.3273723314891415,2.2253825619335115,0.9268197174320854,0.7316031297850017,69.6529398803711,593.9762802604522
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,17,5.634637490028658,0.8619906445344289,0.5406511519352595,nan,0.6168282479047775,5.011419248580933,1000.0,nan,nan,0,0,0,31054,2.001988543069573,5.544528052358357,40.125,152.06,0.9126933366060257,0.921518343091011,9.823024768215605,46.4208372262557,165.6613883972168,164.20065322875976,0.7338579014050426,0.7279016234229491,165.6613883972168,164.20065322875976,0.7338579014050426,0.7279016234229491,2942.2260276134302,1256.6137887452542,5.537714749574661,26.16967391014099,3.4190043467850866,2.20937580502597,0.920864638906938,0.7283428291994004,70.98142572021484,596.7967483817315
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,18,5.711008028925837,0.8640659785270691,0.5267756265401841,nan,0.6677260734140873,5.177510809898377,1000.0,nan,nan,0,0,0,30858,2.1042875295381926,5.609754918092054,35.0,151.49,0.8859888128936291,0.9216949787735939,9.811518930316836,50.447545277212114,167.81819248199463,162.5264345550537,0.7444002878150884,0.7205408504364931,167.81819248199463,162.5264345550537,0.7444002878150884,0.7205408504364931,3121.455456018528,1185.7611345657697,5.568226397037506,28.629955797195436,3.5064744849597367,2.1979716162544296,0.9190500775973002,0.722308216168241,70.38075598144532,574.1910284189007
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,19,5.806850373102604,0.865681312084198,0.5146129762132963,nan,0.7543062757362019,5.311273360252381,1000.0,nan,nan,0,0,0,31020,2.180231728116438,5.6789851094262,53.81818181818182,152.14,0.9215986186807806,0.917703868150711,9.808619187021403,54.57456951735769,160.97157426313922,161.49571823120118,0.7134350978712539,0.7160117374914714,160.97157426313922,161.49571823120118,0.7134350978712539,0.7160117374914714,3178.222235842673,1118.9397632058424,5.603815252130682,31.179292335510254,3.5797330806403425,2.197658736527116,0.9179069120172075,0.7158774103074789,68.13966192626953,517.4967944708758
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,20,5.893903116823968,0.8672259785731633,0.5037000531951586,nan,0.6239335020383199,5.4402124786376955,1000.0,nan,nan,0,0,0,30732,2.2650406779009815,5.7527607605888695,32.333333333333336,151.235,0.9098656256993611,0.914433041214943,9.74068102166908,58.769529170329605,160.87315877278647,160.3688816833496,0.7140212297818853,0.7110296429461315,160.87315877278647,160.3688816833496,0.7140212297818853,0.7110296429461315,3292.5820466717637,1057.0160175586238,5.602225081125895,33.80052478790283,3.6601287109761365,2.1987183496678884,0.914114384318507,0.7112383583067655,68.97374743652344,521.5838684236024
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,21,5.992620318470147,0.8686006450653077,0.49394121805826824,nan,0.7481014753381411,5.565521025657654,1000.0,nan,nan,0,0,0,30810,2.3209996162228412,5.831972656909314,40.833333333333336,151.6,0.8796234329541525,0.9119493159651756,9.73086250449674,63.02519082012255,163.85143534342447,159.16740303039552,0.7265276758412201,0.7055653946365714,163.85143534342447,159.16740303039552,0.7265276758412201,0.7055653946365714,3468.6088091423576,1001.8798682337283,5.634013255437215,36.490574226379394,3.725388832497431,2.211526914469671,0.9101195490022875,0.7067519388557025,67.59939566040039,483.99855871290794
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,22,6.1013262935321295,0.8699303116401037,0.4851062403122584,nan,0.7495019435882568,5.669678580760956,1000.0,nan,nan,0,0,0,31378,2.4117484465432666,5.915638296297252,43.68421052631579,152.74,0.8616638214964616,0.9073088243603706,9.724110607260128,67.33509544923265,164.83851623535156,158.24376976013184,0.730828945319889,0.7015241670548182,164.83851623535156,158.24376976013184,0.730828945319889,0.7015241670548182,3641.308418049656,953.853247138894,5.6677634339583545,39.246714401245114,3.813304386444861,2.2138898997300878,0.9033487556187529,0.7040665907399157,69.56137152099609,519.9110187414445
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,23,6.222288957998074,0.87096431295077,0.47719294458627703,nan,0.7880878952833322,5.757492718696594,1000.0,nan,nan,0,0,0,30674,2.512533952203354,6.004131691842535,33.07692307692308,151.22,0.9035616379517776,0.9013576117157936,9.734581524381394,71.67854934178439,156.96502098670373,157.52334259033202,0.6969256973768233,0.6983266357010538,156.96502098670373,157.52334259033202,0.6969256973768233,0.6983266357010538,3656.9496673939216,915.5819998366604,5.7118186217087965,42.057778434753416,3.9091730480590257,2.2083692175309304,0.9014921297489757,0.6982411324230492,67.09042758178711,461.3134912869062
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,24,6.339122896224741,0.8719406465689341,0.47003633638223014,nan,0.6566981315612793,5.843890409469605,1000.0,nan,nan,0,0,0,30930,2.601028806379938,6.097004372346974,38.13333333333333,151.79,0.8474964121977488,0.8964016726613044,9.653367920699301,76.04042323084602,163.48271484375,156.73560829162597,0.7252731457155309,0.6944969533688515,163.48271484375,156.73560829162597,0.7252731457155309,0.6944969533688515,3836.7849999270456,876.5397292460697,5.702053356170654,44.91557289123535,3.999419032766751,2.2096285143741015,0.8929896777452424,0.6966441295790848,67.59872476196288,465.71944169623924
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,25,6.437234100329225,0.8729839768012365,0.46347251564264297,nan,0.5885703315337499,5.93116904258728,1000.0,nan,nan,0,0,0,30858,2.720312000055081,6.1966132854923055,42.833333333333336,151.72,0.9280916800101598,0.8926631638407707,9.586327147978487,80.41734098424266,150.63603973388672,155.66603164672853,0.6678424311910733,0.689915836099696,150.63603973388672,155.66603164672853,0.6678424311910733,0.689915836099696,3655.322658487399,843.1745284451661,5.700329502423604,47.81866237640381,4.110832514229971,2.197566461337571,0.894668551548472,0.6886663980860004,65.88167761230468,424.99755518176397
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,26,6.5661861341264,0.8738326438268026,0.45735781649748486,nan,0.7420484905059521,5.979220633506775,1000.0,nan,nan,0,0,0,30894,2.8129640980267006,6.299738864044218,41.46153846153846,151.775,0.8646731376647949,0.8840759119391441,9.629389690383109,84.80888957008074,158.04266709547775,155.27869323730468,0.7003164620871576,0.6883480301885772,158.04266709547775,155.27869323730468,0.7003164620871576,0.6883480301885772,3884.93259860966,817.1644732983441,5.764236266796406,50.76733757019043,4.2076740044337075,2.19889193709631,0.8828917050585501,0.6890784978631385,66.2205866394043,427.8740368831888
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,27,6.7201584989579395,0.8746026454369227,0.4520193699002266,nan,0.7795583062312182,6.053746483325958,1000.0,nan,nan,0,0,0,31368,2.8994522035200148,6.409815423665879,48.411764705882355,152.725,0.8408418122459861,0.8803926411271096,9.543318680125164,89.18120585804434,159.82176208496094,154.21358688354493,0.7079020729792659,0.6837482395777655,159.82176208496094,154.21358688354493,0.7079020729792659,0.6837482395777655,4106.540719298916,789.8571368290071,5.75092540067785,53.74173065185547,4.303597491578361,2.208527623987859,0.8772941890949478,0.6856404753741965,67.11937466430665,455.56523918776605
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,28,6.864249494334212,0.8754263112942378,0.446913480758667,nan,0.7412356734275818,6.098325133323669,1000.0,nan,nan,0,0,0,31238,2.995024566920667,6.525062510643364,43.64705882352941,152.48,0.8958858111325432,0.8732521077990532,9.518634466060435,93.5551803592034,150.55987279555376,153.66767196655275,0.6675772421252801,0.6812621901159872,150.55987279555376,153.66767196655275,0.6675772421252801,0.6812621901159872,3966.3392116889095,768.4725293767717,5.774418466231403,56.75464931488037,4.4070397444097456,2.22015553702618,0.8750252550648104,0.6801900974162546,66.58610446166992,442.24454494813153
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,29,7.07686079719383,0.8761206428209941,0.44216152797142666,nan,0.6701076049357653,6.131825959682464,1000.0,nan,nan,0,0,0,31418,3.074231034920205,6.644153876072172,51.0,153.01,0.834016578271985,0.8654199400544167,9.441926935423107,97.90571321371863,157.37054252624512,153.23260307312012,0.6982737477945427,0.6791719386867077,157.37054252624512,153.23260307312012,0.6982737477945427,0.6791719386867077,4247.014568483833,748.606954149673,5.7661978006362915,59.791154079437256,4.502200171380991,2.2384520445889904,0.8630937651075699,0.6805868875095102,66.32889859008789,435.3472478513519
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,30,7.222144389051661,0.8767083106438319,0.4379132822155952,nan,0.7350382439114831,6.186595532894135,1000.0,nan,nan,0,0,0,31504,3.2096141133206855,6.771690400334124,42.36363636363637,152.86,0.8530529927123677,0.861383221745491,9.461202190745007,102.22325962018247,153.82563296231356,152.18095458984374,0.6818091644517975,0.6748064445638843,153.82563296231356,152.18095458984374,0.6818091644517975,0.6748064445638843,4195.086264681124,732.098160114976,5.816617705605247,62.84546190261841,4.634444628126061,2.2311287125291472,0.8605577035530193,0.6755004077960199,67.6407096862793,477.42305969195985
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,31,7.4101421057296735,0.877281310359637,0.4339515252908071,nan,0.9031550039847692,6.1851358294487,1000.0,nan,nan,0,0,0,30888,3.263778832291372,6.901949288128077,43.833333333333336,151.81,0.8375207235415777,0.8503088933229447,9.459643413536599,106.52487579602756,154.15638478597006,152.19322731018067,0.6843387607884176,0.6745899542323369,154.15638478597006,152.19322731018067,0.6843387607884176,0.6745899542323369,4325.490660328452,714.8038435955767,5.854559977849324,65.92809551239014,4.719047014626054,2.2602198283251504,0.8495850346560748,0.6751417734713603,64.57704415893555,389.73331328611357
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,32,7.628043142460117,0.8778953119119008,0.4302726559837659,nan,0.8231435463978694,6.209483022689819,1000.0,nan,nan,0,0,0,30856,3.355090977783307,7.040013910179177,40.15384615384615,151.67,0.9127692534373357,0.8435173326730728,9.406203564327372,110.7653805955897,143.76856407752405,151.52855361938475,0.6375347377510845,0.6718230202174895,143.76856407752405,151.52855361938475,0.6375347377510845,0.6718230202174895,4137.542650597052,702.8888952693675,5.86042569233821,69.01108165740966,4.829060150741654,2.2732552269778386,0.8477439757244128,0.6697303081420752,64.34940411376954,388.73166702327035
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,33,7.8920958628007405,0.8783349776268006,0.42688077211380004,nan,0.8223709712425867,6.2423510122299195,1000.0,nan,nan,0,0,0,30810,3.419550071616442,7.186886739024853,40.833333333333336,151.6,0.83531886835893,0.8385152766108512,9.432925906713265,114.96554493175888,152.4410629272461,150.70002639770507,0.6761260472841014,0.66801514693046,152.4410629272461,150.70002639770507,0.6761260472841014,0.66801514693046,4371.54408924536,688.8558900615059,5.916386127471924,72.10706008911133,4.9264847385798065,2.2994391053888377,0.8383343478418747,0.6684742544976472,63.93859606933594,380.459414166491
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,34,7.980832306074364,0.8789226438601812,0.4237720763683319,nan,0.9151779296605483,6.2080390477180485,1000.0,nan,nan,0,0,0,32356,3.4909149483186033,7.328614171322298,58.69565217391305,155.03,0.8166101639685424,0.82515340924263,9.46686991541311,119.1321301980337,152.69508229131284,150.90168838500978,0.6765207875618453,0.6689767496799399,152.69508229131284,150.90168838500978,0.6765207875618453,0.6689767496799399,4499.927205001236,677.2459979826589,5.977392756420633,75.2201665878296,5.025994637520081,2.329051115663679,0.8242722673533743,0.6697548343045311,67.3846491394043,477.8950506231203
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,35,8.067148311087944,0.8794096432129542,0.4207680640618006,nan,0.8268240317702293,6.191919887065888,1000.0,nan,nan,0,0,0,30774,3.5483461258222997,7.4728383092245485,40.0,151.47,0.8118932445844015,0.8149043810367584,9.273790564553732,123.21140610800511,152.4172795613607,150.68246070861815,0.6761611828298455,0.6680982142889783,152.4172795613607,150.68246070861815,0.6761611828298455,0.6680982142889783,4633.509612616999,668.9489059289082,5.894649187723796,78.31619766235352,5.118142999183198,2.361080016451244,0.814733939350776,0.6685546087346879,63.930998992919925,378.78379307437126
